Nitrogen,Phosphorus,Potassium,pH,Humidity,Temperature,Soil Type,Period of Month,Crop
20.52,21.06,38.41,5.84,65.56,21.11,Loamy,Kharif,Maize
74.69,15.26,73.51,7.08,82.48,21.91,Sandy,Kharif,Rice
45.35,32.18,56.52,6.65,54.76,18.94,Loamy,Rabi,Onion
77.55,38.81,49.4,5.96,89.95,34.35,Clayey,Zaid,Tomato
49.6,50.09,26.05,6.22,68.3,17.8,Clayey,Zaid,Tomato
79.68,31.63,28.75,6.54,51.96,27.41,Loamy,Kharif,Brinjal
69.82,11.52,27.39,6.41,77.88,15.62,Silty,Kharif,Maize
26.07,11.05,38.82,6.58,62.32,15.14,Silty,Kharif,Rice
88.58,31.86,44.71,7.28,62.24,29.01,Silty,Kharif,Brinjal
84.82,54.66,26.78,6.35,77.04,23.87,Silty,Kharif,Rice
94.28,43.14,43.93,5.85,57.8,18.5,Silty,Zaid,Tomato
48.12,15.34,43.11,6.67,76.93,24.69,Clayey,Kharif,Rice
97.18,38.92,70.01,6.22,75.86,33.18,Clayey,Zaid,Tomato
39.91,40.81,27.56,5.73,73.23,21.19,Silty,Zaid,Tomato
64.68,46.88,22.09,6.87,74.74,24.08,Sandy,Zaid,Tomato
55.49,39.95,20.87,7.05,72.52,17.06,Loamy,Kharif,Brinjal
95.5,48.46,48.71,6.08,70.6,28.72,Sandy,Zaid,Tomato
28.92,17.65,37.96,6.92,81.25,20.58,Loamy,Zaid,Tomato
69.37,10.61,33.79,5.79,86.43,31.26,Silty,Kharif,Rice
26.49,27.32,46.22,6.54,58.43,18.61,Clayey,Kharif,Brinjal
48.83,51.16,66.39,6.07,60.41,32.55,Silty,Rabi,Wheat
88.02,26.47,64.57,5.89,56.0,25.69,Sandy,Rabi,Onion
66.33,44.83,70.66,6.06,68.84,33.18,Silty,Kharif,Brinjal
33.62,27.06,54.5,6.12,83.4,22.19,Silty,Kharif,Brinjal
69.17,33.39,31.46,5.91,56.75,25.89,Clayey,Rabi,Onion
55.32,29.68,25.78,6.25,77.4,16.61,Loamy,Kharif,Rice
82.55,57.54,59.26,6.87,81.39,34.0,Sandy,Rabi,Onion
91.35,52.58,76.77,6.88,84.74,16.81,Sandy,Zaid,Tomato
68.61,28.83,35.14,6.25,53.53,17.41,Silty,Kharif,Maize
46.72,43.83,75.64,5.56,50.52,15.53,Sandy,Zaid,Tomato
82.42,12.66,45.67,5.64,55.26,26.22,Silty,Zaid,Tomato
44.29,37.83,38.95,6.12,62.57,34.87,Loamy,Rabi,Wheat
79.0,14.58,20.68,6.3,53.93,19.35,Clayey,Kharif,Rice
85.44,11.36,51.03,6.5,88.11,26.69,Loamy,Kharif,Rice
36.07,27.73,48.09,6.14,62.32,21.11,Silty,Rabi,Onion
40.1,18.44,75.01,6.52,84.96,29.82,Sandy,Rabi,Wheat
90.36,31.8,59.64,7.02,75.43,34.62,Sandy,Zaid,Tomato
94.36,39.18,37.24,6.33,83.82,17.4,Silty,Rabi,Wheat
85.85,26.09,23.59,6.45,74.26,23.77,Silty,Rabi,Onion
29.34,40.64,38.48,5.68,55.65,33.96,Loamy,Kharif,Brinjal
92.74,35.96,73.08,5.74,85.69,18.62,Loamy,Kharif,Rice
81.99,31.6,70.82,7.1,88.05,21.07,Loamy,Kharif,Brinjal
37.4,47.96,54.96,6.82,82.72,22.09,Sandy,Kharif,Brinjal
52.94,26.52,31.23,7.05,76.67,18.15,Loamy,Kharif,Maize
80.46,30.19,72.71,6.58,54.4,16.07,Clayey,Kharif,Brinjal
76.0,41.58,30.83,7.5,72.94,26.34,Clayey,Kharif,Rice
40.2,48.59,70.48,6.65,66.32,33.22,Silty,Kharif,Rice
36.42,53.88,58.72,7.16,65.63,29.16,Clayey,Kharif,Rice
81.3,13.07,65.68,5.98,89.52,31.81,Clayey,Kharif,Rice
80.48,52.07,62.23,6.6,81.12,26.34,Silty,Kharif,Maize
89.02,36.32,65.4,6.78,75.5,34.57,Sandy,Kharif,Brinjal
55.89,11.22,57.63,5.99,82.52,33.52,Sandy,Rabi,Wheat
77.17,16.53,57.77,6.87,59.46,16.11,Clayey,Kharif,Maize
82.01,26.69,54.82,6.1,54.32,24.8,Silty,Rabi,Wheat
76.18,54.07,40.83,7.27,65.53,22.15,Clayey,Rabi,Wheat
22.69,41.05,38.6,6.42,83.03,33.42,Sandy,Kharif,Brinjal
63.7,46.7,58.82,7.46,62.1,22.21,Clayey,Rabi,Wheat
79.77,38.08,46.63,6.13,70.28,32.65,Sandy,Rabi,Onion
85.06,39.18,78.91,7.29,58.68,27.74,Clayey,Zaid,Tomato
95.08,24.12,75.15,7.31,55.59,16.9,Sandy,Kharif,Rice
57.68,29.03,78.02,7.0,62.21,31.29,Loamy,Rabi,Wheat
33.94,53.23,33.15,5.81,82.72,34.89,Loamy,Zaid,Tomato
26.02,12.9,68.41,5.68,83.16,32.68,Silty,Kharif,Brinjal
56.54,27.81,46.02,6.06,55.33,24.08,Clayey,Kharif,Brinjal
34.17,38.78,74.77,5.74,89.7,31.04,Silty,Rabi,Onion
82.35,35.18,56.95,6.87,52.5,20.18,Sandy,Kharif,Maize
78.74,17.21,47.69,6.55,86.77,31.79,Sandy,Kharif,Brinjal
43.63,36.32,30.82,6.7,51.73,16.89,Sandy,Kharif,Brinjal
37.67,33.88,32.86,7.22,60.92,26.8,Sandy,Zaid,Tomato
51.34,46.6,22.22,5.98,84.32,19.26,Loamy,Kharif,Rice
87.88,11.87,75.38,7.22,62.7,30.81,Clayey,Kharif,Maize
21.94,15.99,53.26,7.32,50.25,31.03,Sandy,Kharif,Brinjal
41.76,43.5,26.46,5.61,75.77,28.71,Sandy,Kharif,Maize
91.94,47.96,50.56,6.17,60.75,29.11,Loamy,Zaid,Tomato
29.3,32.13,49.94,7.13,69.04,20.94,Silty,Kharif,Rice
32.12,27.55,31.3,6.69,73.32,24.69,Silty,Kharif,Brinjal
30.13,25.19,71.95,5.62,77.38,34.71,Loamy,Zaid,Tomato
58.73,24.55,59.9,7.49,62.51,20.42,Loamy,Rabi,Onion
89.03,33.33,39.12,6.02,66.96,19.45,Loamy,Rabi,Wheat
78.61,13.57,66.67,6.61,57.29,26.76,Clayey,Kharif,Rice
54.21,41.72,78.73,6.63,70.31,22.69,Sandy,Kharif,Brinjal
97.14,17.03,47.66,5.58,72.42,22.04,Silty,Kharif,Rice
57.25,18.66,47.7,7.12,83.83,15.09,Sandy,Rabi,Onion
56.58,28.91,50.78,6.29,88.36,20.39,Silty,Kharif,Rice
62.67,38.1,47.08,6.08,67.29,21.03,Loamy,Rabi,Onion
71.44,52.82,35.71,5.9,77.38,24.22,Sandy,Rabi,Wheat
63.11,19.9,40.23,6.64,61.58,24.29,Loamy,Kharif,Maize
66.44,37.52,31.87,7.39,67.24,34.99,Clayey,Kharif,Rice
57.47,27.28,31.73,7.24,78.0,23.99,Sandy,Rabi,Wheat
85.84,50.89,26.34,7.4,80.18,28.63,Loamy,Kharif,Brinjal
86.16,57.63,31.87,6.91,81.8,32.59,Silty,Rabi,Onion
48.55,55.13,71.29,6.91,88.29,34.99,Sandy,Kharif,Rice
58.61,51.95,29.9,5.99,82.56,30.32,Clayey,Kharif,Maize
71.94,12.97,65.32,5.97,69.02,19.85,Clayey,Kharif,Rice
63.81,37.55,51.28,6.5,76.75,18.42,Clayey,Kharif,Rice
91.05,18.53,60.89,7.43,52.87,22.17,Loamy,Zaid,Tomato
62.51,33.53,78.36,7.01,62.95,30.84,Clayey,Zaid,Tomato
49.34,16.92,23.26,6.4,59.0,17.78,Loamy,Kharif,Rice
71.68,26.14,59.91,6.39,60.7,31.27,Sandy,Rabi,Wheat
62.71,45.23,70.04,6.32,89.08,18.65,Silty,Rabi,Onion
99.33,31.18,62.38,6.92,63.6,18.83,Sandy,Kharif,Brinjal
35.67,34.39,54.99,7.38,60.36,17.24,Sandy,Kharif,Brinjal
32.8,39.62,34.05,6.27,86.78,19.93,Silty,Kharif,Brinjal
67.63,32.79,58.97,5.65,81.84,30.39,Loamy,Kharif,Maize
69.26,55.86,59.23,6.1,87.79,17.91,Loamy,Rabi,Onion
56.58,53.47,39.52,5.98,71.14,30.6,Sandy,Rabi,Onion
82.45,50.69,68.39,5.88,57.91,25.86,Silty,Rabi,Onion
53.67,49.46,25.79,7.02,53.36,23.75,Sandy,Kharif,Brinjal
74.39,52.11,76.31,7.34,63.24,28.65,Loamy,Kharif,Brinjal
71.56,43.64,41.11,6.79,56.48,20.17,Loamy,Kharif,Maize
45.98,31.36,54.56,6.08,68.9,28.03,Loamy,Zaid,Tomato
85.41,28.99,21.01,6.16,53.77,15.25,Sandy,Kharif,Maize
39.62,55.8,45.04,6.26,82.7,19.29,Sandy,Rabi,Wheat
29.82,32.9,47.66,7.31,60.42,17.56,Silty,Kharif,Brinjal
97.35,11.48,64.45,7.19,53.36,32.84,Loamy,Rabi,Onion
70.52,48.75,48.21,5.86,80.72,31.76,Clayey,Kharif,Maize
92.72,38.22,35.3,6.52,68.83,17.33,Silty,Rabi,Wheat
30.35,45.18,23.27,7.26,64.11,32.28,Silty,Kharif,Rice
20.72,52.66,67.64,7.1,76.64,15.99,Loamy,Rabi,Onion
83.17,30.05,37.73,6.43,50.54,18.23,Silty,Rabi,Onion
69.93,34.66,58.35,5.74,67.24,17.59,Sandy,Zaid,Tomato
46.58,50.46,27.06,6.77,65.59,34.3,Silty,Kharif,Maize
29.75,20.11,22.06,6.1,74.63,21.78,Silty,Kharif,Maize
85.51,22.61,40.69,7.14,82.42,18.23,Clayey,Zaid,Tomato
94.74,11.61,50.61,6.49,62.31,23.7,Sandy,Kharif,Maize
53.39,24.45,73.4,7.33,85.77,27.52,Clayey,Rabi,Onion
58.91,15.43,35.85,5.68,82.26,16.73,Sandy,Rabi,Wheat
61.89,52.32,44.4,7.21,85.53,33.51,Silty,Kharif,Brinjal
34.33,14.33,20.75,7.24,84.81,30.74,Silty,Kharif,Rice
50.55,22.14,26.4,6.36,83.42,17.87,Clayey,Rabi,Onion
89.97,58.34,54.67,7.16,72.61,15.34,Sandy,Kharif,Maize
31.83,23.34,53.48,6.47,82.19,17.7,Loamy,Rabi,Onion
70.56,30.65,48.17,7.24,75.4,20.76,Silty,Kharif,Rice
66.11,17.32,63.28,6.24,52.46,20.77,Loamy,Kharif,Brinjal
28.58,25.92,73.57,6.61,59.91,26.84,Clayey,Kharif,Maize
50.59,48.12,53.92,6.74,89.3,19.49,Sandy,Rabi,Onion
70.52,27.3,65.43,6.71,83.05,16.93,Sandy,Kharif,Maize
51.45,49.9,27.92,5.7,59.84,22.91,Loamy,Kharif,Rice
21.12,57.58,30.52,7.33,89.51,27.21,Clayey,Kharif,Rice
52.24,45.01,36.79,6.47,68.81,34.32,Silty,Rabi,Onion
24.62,42.02,28.76,6.97,80.9,32.54,Silty,Zaid,Tomato
45.07,21.63,62.7,6.01,74.89,19.58,Sandy,Kharif,Rice
27.19,13.1,72.8,6.98,84.56,33.79,Loamy,Zaid,Tomato
86.41,54.58,58.91,7.05,73.94,34.89,Silty,Rabi,Wheat
25.97,25.1,75.48,6.37,74.22,19.61,Silty,Kharif,Rice
90.08,36.51,22.16,6.58,73.02,25.78,Sandy,Rabi,Wheat
38.32,54.3,52.06,7.07,85.2,16.47,Sandy,Kharif,Maize
26.78,39.12,49.58,5.78,69.83,31.05,Clayey,Kharif,Brinjal
45.0,52.7,60.75,6.29,73.13,26.55,Clayey,Kharif,Brinjal
40.46,59.91,57.92,6.59,52.16,30.27,Clayey,Rabi,Wheat
79.34,39.53,68.25,6.11,84.4,21.4,Sandy,Zaid,Tomato
70.13,17.26,23.45,6.32,53.89,34.0,Sandy,Kharif,Brinjal
86.27,50.1,51.31,6.97,69.25,22.34,Loamy,Rabi,Onion
36.63,22.25,51.54,6.75,62.98,27.48,Clayey,Rabi,Wheat
93.78,18.11,70.34,6.2,77.96,30.74,Loamy,Kharif,Brinjal
31.11,58.7,49.79,6.36,77.39,27.06,Clayey,Zaid,Tomato
40.47,56.81,25.28,7.39,77.97,17.67,Clayey,Kharif,Brinjal
69.28,59.77,41.71,6.32,53.13,16.17,Loamy,Zaid,Tomato
20.65,31.43,37.06,6.19,61.46,19.7,Clayey,Zaid,Tomato
34.62,32.8,57.87,6.56,50.39,15.93,Sandy,Zaid,Tomato
86.27,30.97,39.66,6.15,53.27,31.83,Clayey,Rabi,Wheat
28.2,11.19,67.03,5.85,85.66,28.33,Loamy,Rabi,Wheat
72.99,19.49,68.14,5.79,73.78,26.99,Sandy,Kharif,Brinjal
21.46,28.16,72.12,6.27,89.3,29.11,Clayey,Kharif,Brinjal
25.4,32.51,20.63,6.55,61.38,33.92,Silty,Rabi,Onion
77.19,17.74,66.35,6.0,73.98,16.78,Silty,Kharif,Brinjal
66.44,45.68,40.49,7.44,70.78,16.22,Sandy,Rabi,Wheat
70.5,31.93,77.29,7.42,71.91,31.12,Loamy,Rabi,Wheat
66.06,42.69,39.65,7.11,89.7,34.93,Clayey,Rabi,Wheat
44.36,14.76,69.54,6.1,53.98,21.37,Loamy,Kharif,Rice
23.66,53.12,44.52,6.6,87.77,15.95,Clayey,Zaid,Tomato
68.56,21.7,79.16,6.15,52.61,29.36,Loamy,Kharif,Maize
30.53,14.99,32.79,7.31,81.01,23.58,Silty,Kharif,Rice
89.5,43.92,79.73,6.11,65.31,18.39,Clayey,Rabi,Wheat
30.43,19.32,24.83,6.64,88.8,22.35,Silty,Kharif,Brinjal
54.15,43.44,49.8,6.06,53.24,18.25,Loamy,Rabi,Onion
49.75,35.04,75.01,6.72,83.76,32.02,Sandy,Rabi,Onion
53.53,57.27,33.76,6.11,54.74,29.39,Loamy,Kharif,Maize
43.93,34.96,53.51,5.51,69.55,22.36,Silty,Zaid,Tomato
20.41,30.47,48.31,6.0,75.99,21.38,Sandy,Rabi,Onion
28.42,48.97,54.79,6.91,82.18,17.79,Loamy,Kharif,Rice
45.61,57.04,46.93,5.95,70.53,31.77,Sandy,Rabi,Onion
80.15,31.12,42.62,6.32,82.24,24.17,Silty,Kharif,Rice
63.04,36.19,48.92,7.06,66.96,25.64,Sandy,Kharif,Brinjal
33.25,45.86,43.44,5.52,89.82,16.45,Loamy,Rabi,Wheat
54.94,25.51,68.3,6.39,87.0,15.59,Sandy,Zaid,Tomato
49.76,35.43,41.72,6.61,65.01,31.93,Clayey,Kharif,Brinjal
37.62,47.9,72.07,6.31,89.42,30.23,Sandy,Kharif,Maize
45.2,39.15,59.18,5.78,89.42,32.2,Sandy,Zaid,Tomato
30.8,30.54,34.86,6.37,51.81,29.91,Clayey,Kharif,Brinjal
22.74,18.3,44.33,5.73,65.53,25.38,Clayey,Rabi,Onion
52.03,21.44,50.6,7.44,59.29,15.06,Loamy,Kharif,Maize
38.76,14.01,41.65,7.12,79.59,32.27,Clayey,Zaid,Tomato
77.14,19.9,37.59,6.29,50.11,27.19,Sandy,Zaid,Tomato
33.84,41.77,21.16,5.72,77.9,33.04,Silty,Zaid,Tomato
35.45,51.17,65.75,5.93,65.95,17.55,Clayey,Zaid,Tomato
74.34,43.46,73.12,5.62,53.59,30.15,Clayey,Rabi,Onion
82.38,17.82,51.06,6.14,88.51,18.29,Loamy,Zaid,Tomato
39.45,43.09,47.85,5.89,55.55,18.77,Sandy,Rabi,Onion
73.17,12.42,58.94,6.56,62.38,24.91,Sandy,Kharif,Rice
55.79,57.35,63.05,6.34,64.67,20.5,Silty,Kharif,Brinjal
35.46,30.04,50.91,6.49,70.97,29.83,Silty,Rabi,Onion
87.71,35.51,70.72,7.02,57.02,30.5,Silty,Kharif,Brinjal
56.61,18.32,39.28,6.37,86.84,23.89,Clayey,Rabi,Wheat
74.24,36.8,25.42,6.14,73.76,29.57,Loamy,Kharif,Brinjal
68.47,58.38,72.54,7.01,64.61,15.15,Clayey,Zaid,Tomato
33.97,15.11,62.33,6.3,60.36,24.98,Loamy,Zaid,Tomato
73.53,19.82,30.42,5.78,72.36,28.16,Sandy,Zaid,Tomato
27.3,47.39,41.21,6.12,69.2,31.38,Loamy,Kharif,Brinjal
50.52,53.57,24.02,7.13,87.21,22.28,Loamy,Rabi,Wheat
72.88,48.2,73.56,6.47,86.62,34.03,Loamy,Kharif,Rice
64.48,31.39,64.69,7.06,57.88,34.43,Sandy,Kharif,Maize
96.37,46.03,46.55,7.29,68.74,16.49,Sandy,Kharif,Maize
38.29,23.57,34.41,7.33,78.94,26.44,Loamy,Kharif,Rice
44.28,52.76,79.45,6.68,74.11,21.47,Clayey,Rabi,Wheat
63.6,59.0,70.5,5.86,75.11,19.76,Clayey,Zaid,Tomato
85.09,33.41,39.68,5.59,64.46,15.26,Clayey,Zaid,Tomato
34.02,46.49,79.7,7.49,71.12,30.3,Sandy,Rabi,Onion
34.38,49.56,52.91,6.51,87.85,19.29,Sandy,Kharif,Rice
43.2,52.17,36.6,6.97,88.73,32.68,Loamy,Rabi,Onion
97.59,44.72,70.95,6.71,89.36,21.34,Silty,Kharif,Rice
97.55,55.16,27.19,5.75,54.62,18.52,Loamy,Zaid,Tomato
25.63,25.18,34.58,7.29,89.14,23.29,Loamy,Rabi,Onion
73.97,52.1,59.97,6.19,56.9,32.6,Sandy,Rabi,Onion
30.81,35.04,23.38,6.28,74.74,18.02,Silty,Rabi,Onion
27.51,45.69,60.48,7.44,52.59,30.44,Clayey,Kharif,Rice
33.0,13.76,75.51,6.82,80.2,24.59,Silty,Zaid,Tomato
64.04,39.49,33.63,5.82,80.43,15.44,Loamy,Kharif,Rice
65.47,30.9,45.44,7.26,51.07,20.04,Clayey,Rabi,Wheat
81.28,32.01,46.43,6.57,60.98,28.75,Clayey,Rabi,Wheat
28.49,58.37,69.71,6.68,87.41,20.61,Silty,Zaid,Tomato
78.46,24.15,61.12,7.18,80.11,20.68,Sandy,Rabi,Wheat
46.41,23.56,76.29,7.5,73.51,23.12,Loamy,Rabi,Wheat
91.5,47.46,43.87,6.81,73.38,26.92,Clayey,Rabi,Onion
27.38,43.8,69.12,6.01,62.89,29.25,Loamy,Kharif,Rice
39.6,58.28,73.03,6.88,89.3,19.3,Loamy,Zaid,Tomato
96.89,45.47,30.9,6.8,74.84,19.23,Loamy,Kharif,Rice
43.7,22.25,23.61,6.58,71.81,22.69,Clayey,Kharif,Maize
46.03,53.07,22.57,6.42,54.53,33.41,Sandy,Kharif,Maize
32.36,17.16,73.54,5.89,86.91,19.06,Clayey,Kharif,Rice
65.87,17.53,21.94,7.35,77.29,24.97,Sandy,Rabi,Onion
69.37,18.03,51.82,7.49,57.51,16.19,Silty,Zaid,Tomato
87.71,27.92,27.2,6.37,75.53,18.96,Clayey,Zaid,Tomato
54.37,25.24,27.3,5.9,83.25,31.36,Sandy,Kharif,Rice
48.81,23.04,68.11,5.5,87.75,19.33,Silty,Kharif,Brinjal
86.74,58.3,45.39,7.14,52.11,16.19,Clayey,Kharif,Brinjal
41.75,27.69,69.24,6.77,72.24,24.27,Silty,Kharif,Rice
51.6,41.79,49.82,6.37,60.6,33.43,Loamy,Zaid,Tomato
74.49,59.04,68.95,7.23,86.48,34.88,Sandy,Rabi,Wheat
80.35,37.45,31.09,7.13,60.38,15.55,Sandy,Rabi,Onion
59.39,37.8,68.49,7.46,78.71,26.69,Clayey,Rabi,Wheat
98.16,42.18,45.85,7.22,73.04,25.63,Silty,Kharif,Rice
76.13,58.89,54.19,6.62,64.02,21.96,Silty,Rabi,Onion
68.78,50.14,45.83,6.86,81.19,19.01,Silty,Zaid,Tomato
68.82,40.83,66.64,7.22,77.16,19.38,Clayey,Kharif,Maize
28.02,49.98,44.34,5.68,81.81,15.49,Loamy,Zaid,Tomato
28.94,53.13,44.53,7.34,85.23,17.11,Sandy,Kharif,Rice
56.43,11.16,24.07,6.55,84.88,15.32,Silty,Kharif,Rice
60.39,31.88,47.64,7.44,83.1,20.21,Loamy,Zaid,Tomato
81.54,28.53,71.44,6.51,88.29,33.09,Loamy,Kharif,Maize
94.18,33.62,53.41,6.09,88.8,33.76,Silty,Zaid,Tomato
65.22,16.84,78.79,5.73,77.96,21.73,Silty,Kharif,Brinjal
29.38,30.1,40.54,6.39,84.5,25.01,Clayey,Rabi,Onion
91.71,20.02,43.65,6.25,83.2,22.94,Silty,Zaid,Tomato
89.12,19.87,23.22,7.01,80.41,20.09,Sandy,Rabi,Onion
68.4,22.4,51.05,6.89,71.0,24.7,Sandy,Zaid,Tomato
96.53,30.69,57.61,6.78,75.18,22.93,Silty,Kharif,Brinjal
51.24,43.97,72.01,6.84,79.28,31.11,Clayey,Zaid,Tomato
84.84,15.26,67.7,6.82,59.57,26.95,Clayey,Kharif,Rice
78.03,16.08,37.56,6.39,68.53,21.96,Sandy,Kharif,Brinjal
90.69,13.44,36.62,6.61,70.98,25.47,Clayey,Rabi,Onion
58.2,17.94,38.01,6.65,80.12,15.98,Sandy,Kharif,Maize
41.16,44.63,36.46,6.82,74.24,21.23,Loamy,Rabi,Wheat
61.27,36.18,27.51,6.0,78.08,17.76,Loamy,Kharif,Brinjal
92.57,30.16,27.88,5.5,74.69,28.11,Silty,Rabi,Wheat
23.52,12.55,59.15,6.62,68.92,19.73,Silty,Kharif,Maize
49.36,42.28,45.28,5.58,81.87,17.36,Silty,Kharif,Brinjal
74.65,33.89,57.62,5.8,72.81,20.37,Clayey,Rabi,Wheat
98.34,42.47,24.89,6.98,65.38,32.52,Loamy,Kharif,Maize
91.78,28.34,36.35,7.34,74.59,15.58,Silty,Zaid,Tomato
36.98,45.65,27.28,6.63,86.26,15.14,Sandy,Kharif,Brinjal
59.61,40.06,39.6,6.27,71.98,19.9,Sandy,Kharif,Brinjal
96.33,41.85,74.73,7.34,60.38,32.39,Loamy,Kharif,Brinjal
96.31,24.77,76.86,6.33,74.09,22.88,Loamy,Kharif,Rice
37.92,48.68,32.67,7.27,79.44,21.91,Silty,Rabi,Onion
38.02,10.58,47.96,7.31,65.9,32.72,Clayey,Kharif,Rice
98.13,26.51,66.08,5.73,87.31,33.07,Silty,Rabi,Wheat
37.0,24.61,26.96,6.08,69.27,29.21,Loamy,Rabi,Wheat
89.36,29.32,30.6,7.13,63.48,29.3,Loamy,Zaid,Tomato
36.09,12.31,59.42,7.08,66.71,19.99,Loamy,Rabi,Wheat
29.14,58.43,44.53,7.31,54.67,25.35,Silty,Kharif,Maize
81.97,11.14,59.33,6.47,58.85,25.67,Sandy,Kharif,Maize
51.22,42.01,54.19,6.81,87.21,16.13,Silty,Kharif,Rice
85.73,54.75,52.82,5.55,50.81,31.91,Sandy,Kharif,Brinjal
29.83,32.36,56.72,6.59,55.73,27.54,Loamy,Kharif,Brinjal
55.24,41.49,61.54,6.5,56.0,18.72,Silty,Kharif,Brinjal
76.33,31.15,24.29,6.57,72.72,17.58,Clayey,Kharif,Brinjal
